,language,link,symbol
90,gujarati,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gu.vec,gu
91,haitian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ht.vec,ht
92,hakka,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hak.vec,hak
93,hausa,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ha.vec,ha
94,hawaiian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.haw.vec,haw
95,hebrew,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.he.vec,he
96,herero,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hz.vec,hz
97,hill mari,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mrj.vec,mrj
98,hindi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hi.vec,hi
99,hiri motu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ho.vec,ho
100,hungarian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hu.vec,hu
101,icelandic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.is.vec,is
102,ido,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.io.vec,io
103,igbo,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ig.vec,ig
104,ilokano,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ilo.vec,ilo
105,indonesian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.id.vec,id
106,interlingua,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ia.vec,ia
107,interlingue,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ie.vec,ie
108,inuktitut,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.iu.vec,iu
109,inupiak,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ik.vec,ik
110,irish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ga.vec,ga
111,italian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.it.vec,it
112,jamaican patois,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.jam.vec,jam
113,japanese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ja.vec,ja
114,javanese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.jv.vec,jv
115,kabardian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kbd.vec,kbd
116,kabyle,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kab.vec,kab
117,kalmyk,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.xal.vec,xal
118,kannada,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kn.vec,kn
119,kanuri,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kr.vec,kr
120,kapampangan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pam.vec,pam
121,karachay_balkar,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.krc.vec,krc
122,karakalpak,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kaa.vec,kaa
123,kashmiri,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ks.vec,ks
124,kashubian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.csb.vec,csb
125,kazakh,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kk.vec,kk
126,khmer,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.km.vec,km
127,kikuyu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ki.vec,ki
128,kinyarwanda,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.rw.vec,rw
129,kirghiz,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ky.vec,ky
130,kirundi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.rn.vec,rn
131,komi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kv.vec,kv
132,komi_permyak,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.koi.vec,koi
133,kongo,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kg.vec,kg
134,korean,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ko.vec,ko
135,kuanyama,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.kj.vec,kj
136,kurdish (kurmanji),https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ku.vec,ku
137,kurdish (sorani),https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ckb.vec,ckb
138,ladino,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lad.vec,lad
139,lak,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lbe.vec,lbe
140,lao,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lo.vec,lo
141,latgalian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ltg.vec,ltg
142,latin,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.la.vec,la
143,latvian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lv.vec,lv
144,lezgian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lez.vec,lez
145,ligurian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lij.vec,lij
146,limburgish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.li.vec,li
147,lingala,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ln.vec,ln
148,lithuanian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lt.vec,lt
149,livvi_karelian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.olo.vec,olo
150,lojban,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.jbo.vec,jbo
151,lombard,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lmo.vec,lmo
152,low saxon,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nds.vec,nds
153,lower sorbian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.dsb.vec,dsb
